Rank,Rank 2023,Rank 2022,Name,Country,Sector,Absolute Growth Rate (%),Compound Annual Growth Rate (%),Revenue 2022 (€),Revenue 2019 (€), Number of employees 2022 ,Number of employees 2019,Founding Year
89, , ,Etnos Cooperativa Sociale,Italy,Health Care & Life Sciences,"                             1,792.4",                                          166.5,"                                    2,750,213","                                      145,331",                   103,111,2005
90, , ,Newark Engineering,Italy,Construction & Engineering,"                             1,758.6",                                          164.9,"                                  10,172,503","                                      547,310",                       3,2,2009
91,211, ,Solidatus,UK,IT & Software,"                             1,740.7",                                          164.0,"                                  10,182,093","                                      579,728",                   105,70,2011
92,577, ,Solsol,Czech Rep,Wholesale,"                             1,732.4",                                          163.6,"                                  99,223,313","                                    5,158,798",                     32,6,2012
93,156,26,Bold Security Group,UK,"Prof, Scientific & Tech Serv","                             1,718.2",                                          163.0,"                                  48,052,249","                                    2,769,763",                   379,117,2011
94,97, ,Educ-Up,France,Education & Social Services,"                             1,673.6",                                          160.8,"                                    3,413,104","                                      192,443",                   353,10,2016
95, , ,EET — Efficient Energy Technology,Austria,Energy & Utilities,"                             1,654.0",                                          159.8,"                                    5,716,919","                                      325,941",                     14,6,2017
96, , ,Primal State Group,Germany,Ecommerce,"                             1,646.6",                                          159.5,"                                  35,684,000","                                    2,043,000",                     39,12,2017
97, , ,Elogy,Italy,Logistics & Transportation,"                             1,637.5",                                          159.0,"                                    3,231,388","                                      185,975",                     15,2,2019
98,73,34,Logistics Capital Partners (LCP),Belgium,Real Estate,"                             1,627.7",                                          158.5,"                                120,749,221","                                    6,988,906",                     42,23,2015
99,19, ,Kahoot!,Norway,IT & Software,"                             1,624.5",                                          158.4,"                                136,000,565","                                    7,538,961",                   462,81,2011
100, , ,Ampeco,Bulgaria,IT & Software,"                             1,612.8",                                          157.8,"                                    2,189,352","                                      127,823",                     63,5,2018
101,64,80,Motorway,UK,Ecommerce,"                             1,596.5",                                          157.0,"                                  46,409,080","                                    2,867,047",                   386,58,2017
