Rank,Rank 2023,Rank 2022,Name,Country,Sector,Absolute Growth Rate (%),Compound Annual Growth Rate (%),Revenue 2022 (€),Revenue 2019 (€),Number of employees 2022,Number of employees 2019,Founding Year
483,498.0,842.0,Pirene,Italy,Advertising & Marketing,342.9,64.2,5031644,1136115,70,18.0,1999
484,,,Beaumont Bailey,UK,Management Consulting,342.7,64.2,1748849,413996,12,4.0,2019
485,,,Hedemann,Germany,Wholesale,341.7,64.1,33791161,7650231,95,35.0,2017
486,586.0,,VM.PL,Poland,IT & Software,341.5,64.1,8639985,2162434,194,57.0,2004
487,,,Sciuker Frames,Italy,Furniture & Interiors,341.1,64.0,47412562,10747554,115,11.0,1999
488,,,Langhammer,Germany,Automotive,339.1,63.8,2067859,470938,18,5.0,1949
489,533.0,,Fenyx Italia,Italy,Ecommerce,339.0,63.7,6470061,1473705,10,3.0,2015
490,305.0,,Sweetcare.com,Portugal,Ecommerce,338.2,63.6,14956000,3413000,24,8.0,2006
491,,,Atlas Identity,UK,IT & Software,337.9,63.6,5944497,1422614,18,10.0,2011
492,,,Afs,Italy,Logistics & Transportation,337.5,63.6,67543031,15437815,55,5.0,2016
493,727.0,752.0,GDA,Italy,Apparel & Fashion,333.9,63.1,35108760,8091538,606,149.0,2008
494,,881.0,CampuStore,Italy,Education & Social Services,333.6,63.1,62995269,14528579,14,17.0,1994
495,403.0,,T-Tex,Italy,Pharma & Cosmetics,333.2,63.0,16526255,3814897,11,14.0,1984
496,,,Performa,Italy,Construction & Engineering,333.0,63.0,3287893,759411,14,8.0,2015
497,,,Růžový slon,Czech Rep,Ecommerce,331.7,62.8,8330891,1838306,49,36.0,2010
498,570.0,475.0,Versa Design,Spain,Manufacturing,330.5,62.7,13896951,3228385,82,30.0,2008
499,,,Reds10,UK,Construction & Engineering,330.3,62.6,94478092,23012218,208,28.0,2006
500,,,Alfonsino,Italy,Food & Beverages,330.2,62.6,4647959,1080368,50,12.0,2016
501,665.0,778.0,ITFS,Poland,IT & Software,328.6,62.4,30261355,7801756,400,180.0,2012
502,,,Parafioriti Costruzioni,Italy,Construction & Engineering,328.5,62.4,6928819,1617049,8,6.0,2005
503,,,Southenergy,Italy,Energy & Utilities,327.8,62.3,3794642,887026,14,9.0,2008
504,287.0,427.0,Tattahome,Italy,Ecommerce,327.6,62.3,7850000,1835917,8,5.0,1984
505,,,Elsewhen,UK,IT & Software,327.5,62.3,9633769,2361526,57,23.0,2011
506,,,Direct Bullion,UK,Metals & Mining,325.1,62.0,17834576,4396748,7,4.0,2016
507,382.0,,Optima Network,Spain,Advertising & Marketing,325.1,62.0,6028917,1418348,6,2.0,2009
508,838.0,,Scuccato,Italy,Construction & Engineering,324.0,61.9,8028061,1893230,42,30.0,2012
509,,,Energy Boost,Italy,Energy & Utilities,323.5,61.8,7500112,1770949,15,11.0,2011
510,719.0,,Gardeon,Slovakia,Construction & Engineering,322.0,61.6,11879987,2815229,35,20.0,2013
511,,,247Group,Germany,Ecommerce,321.2,61.5,8252369,1959221,20,8.0,2016
512,7.0,,illimity Bank,Italy,"Fintech, Fin Serv & Insurance",320.4,61.4,324614497,77224189,854,350.0,2018
513,461.0,581.0,Hostinger,Lithuania,IT & Software,319.2,61.2,69603000,16605262,816,448.0,2012
514,704.0,,Alfametal,Spain,Waste mgmt & recycling,319.1,61.2,215618050,51449033,88,64.0,2014
515,,,Liota Bau,Germany,Construction & Engineering,318.6,61.2,4117254,983688,29,16.0,2018
516,,,LoveRaw,UK,Wholesale,317.8,61.1,3417966,857321,15,8.0,2013
517,,,E-Globe (Climamarket),Italy,Ecommerce,317.6,61.0,27022909,6470891,38,13.0,2009
518,522.0,,Tresun,Italy,Energy & Utilities,317.5,61.0,4543573,1088247,65,19.0,2014
519,,,Schmabo,Germany,Construction & Engineering,317.0,61.0,4530000,1086292,15,3.0,2010
520,,,Bou,Finland,Advertising & Marketing,316.1,60.8,2351000,565000,25,5.0,2018
521,372.0,,Samy Alliance,Spain,Advertising & Marketing,315.6,60.8,50762454,12213158,358,96.0,2012
522,519.0,,Infrastructure Services,France,IT & Software,313.9,60.6,2433615,588036,3,1.0,2015
523,,,Linker Media,Croatia,Advertising & Marketing,313.5,60.5,3261498,788748,10,1.0,2018
524,,,Tecno10,Italy,"Prof, Scientific & Tech Serv",313.3,60.5,4903443,1186404,4,1.0,2018
525,,,CVEP,Germany,Automotive,313.2,60.5,3310000,801000,15,3.0,2016
526,,,Elemental CoSec,UK,Legal & Accounting Services,311.6,60.3,8933856,2274869,46,21.0,2011
527,946.0,759.0,Smart Battery Solutions,Germany,Electrical Manufacturing,311.6,60.3,25046000,6085600,108,51.0,2010
528,,23.0,Pegaso Security,Italy,"Prof, Scientific & Tech Serv",310.2,60.1,17833970,4347392,600,200.0,2017
529,239.0,,Edu Group,Italy,Wholesale,309.4,60.0,40756057,9953903,3,3.0,2017
530,327.0,,Iocoli,Italy,Manufacturing,306.9,59.6,6176133,1517937,35,8.0,2008
531,150.0,,Lammertz-Elektrotechnik,Germany,Electrical Manufacturing,306.8,59.6,5729109,1408377,48,14.0,2018
532,,,Cargo Regency,Netherlands,Logistics & Transportation,305.8,59.5,11031976,2718742,13,7.0,2013
533,,,Speech Graphics,UK,IT & Software,305.5,59.5,1918840,495950,42,19.0,2010
534,155.0,,Zenfulfillment,Germany,Logistics & Transportation,304.7,59.4,14280020,3528311,19,9.0,2016
535,,,Steelhome,Italy,Construction & Engineering,304.7,59.4,4140299,1023068,12,9.0,2016
536,,,Teamservice,Italy,IT & Software,303.8,59.2,7037495,1742626,31,14.0,1999
537,,,Guarda Medical,Italy,Pharma & Cosmetics,302.8,59.1,4630999,1149583,9,4.0,2015
538,,,Bauer Solar,Germany,Energy & Utilities,302.0,59.0,151069000,37576000,25,17.0,2012
539,,,Techspert,UK,"Prof, Scientific & Tech Serv",301.5,58.9,3390301,884905,85,28.0,2015
540,,,BDP,Italy,Construction & Engineering,301.4,58.9,14624321,3643651,28,5.0,2011
541,,,Bimon,Italy,"Prof, Scientific & Tech Serv",301.2,58.9,2043525,509357,4,1.0,2015
542,734.0,,Monogrid,Italy,IT & Software,300.7,58.8,3698788,923125,43,14.0,2016
543,641.0,,Déco,Italy,Furniture & Interiors,300.5,58.8,28821454,7196666,23,21.0,2010
544,,,Co.Fal,Italy,Construction & Engineering,299.0,58.6,3118141,781504,6,2.0,2013
545,722.0,,Italy Car Rent,Italy,Logistics & Transportation,298.4,58.5,36272231,9105618,117,46.0,2010
546,,,Allea,France,Management Consulting,297.6,58.4,1779925,447650,20,7.0,2016
547,,,Love Finance,UK,"Fintech, Fin Serv & Insurance",297.5,58.4,2108073,555810,23,8.0,2012
548,288.0,387.0,Billion Dollar Boy,UK,Advertising & Marketing,297.3,58.4,29758498,7849569,110,50.0,2014
549,,,Gambling.com Group,UK,Advertising & Marketing,297.1,58.4,71286621,17160400,393,112.0,2006
550,,,Longo Group,Latvia,Automotive,297.0,58.3,44719585,11264133,135,69.0,2017
551,,,Skills Consulting,Italy,Education & Social Services,296.6,58.3,4613804,1163347,32,14.0,2013
552,,,Diez,Germany,Wholesale,296.5,58.3,2494000,629000,6,3.0,2012
